Class Name,Functionality,File Path,Classification,Usage Count,Usage Locations
NewTaskbar(QFrame),A new streamlined taskbar widget with specific action buttons.,subcmp/new_taskbar.py,Other,0,
NavRecord,Represents a single record in the navigation bar,subcmp/paged_nav_scrollbar.py,Other,0,
PagedNavScrollbar(QDockWidget),A component that combines SearchNavBar and TransparentMarkerScrollbar.,subcmp/paged_nav_scrollbar.py,Other,0,
RecordMarkerBar(QWidget),A visual marker bar with transparent slider for smooth navigation,subcmp/record_marker_bar.py,Other,0,
ReplacementBase,No description,subcmp/replacement_base.py,Other,0,
PagingScrollBar(QWidget),No description,subcmp/table_nav_scrollbar.py,Other,0,
TablePagerBase(QObject),"Abstract paging controller for table widgets. Handles page navigation, page size, and emits signals for UI updates.",subcmp/table_nav_widget.py,Data Model,0,
Taskbar(QFrame),A taskbar widget that allows switching between different application modes,subcmp/taskbar.py,Other,0,
"ReplacementTextEdit(QTextEdit, ReplacementBase)",No description,subcmp/text_rep_imp.py,Other,0,
TranslationEditorWidget(QWidget),A reusable widget for editing translation entries with source and target fields.,subcmp/translation_edit_widget.py,GUI Component,0,
PluralTranslationEditorWidget(TranslationEditorWidget),A specialized version of TranslationEditorWidget with built-in,subcmp/translation_edit_widget.py,GUI Component,0,
TransparentMarkerScrollbar(QWidget),PyCharm-inspired transparent vertical marker bar with page indicators,subcmp/transparent_marker_scrollbar.py,Other,0,
FindReplaceResult,No description,subcmp/transparent_marker_scrollbar.py,Other,0,
VersionedTranslationWidget(QWidget),A widget for editing translation entries with support for multiple versions.,subcmp/versioned_translation_widget.py,GUI Component,0,
SuggestionController,Handles suggestion logic on table row changes and integrates with the translation history DB.,sugg/suggestion_controller.py,Other,0,
Suggestor(QObject),No description,sugg/translate.py,Other,0,
TranslateTask(QRunnable),No description,sugg/translate.py,Other,0,
DummyDictType,No description,tests/import_po_cli.py,Other,0,
VerticalPager(QWidget),No description,tests/pager_widget.py,Other,0,
SuggestionPickerDialog(QDialog),Dialog to choose from a list of suggestion versions.,tests/suggestion_picker_dlg.py,GUI Component,0,
HasattrVisitor(ast.NodeVisitor),AST visitor to find hasattr and getattr calls,tests/validate_direct_access.py,Other,0,
RefactoringValidator,Validates the direct attribute access refactoring.,tests/validate_direct_access_refactoring.py,Other,0,
TestWindow(QMainWindow),No description,tests/enhanced_nav/test_cases/test_enhanced_nav.py,GUI Component,0,
TestMainWindow(QMainWindow),No description,tests/enhanced_nav/test_cases/test_enhanced_nav_complete.py,GUI Component,0,
ThumbMarkerArea(QWidget),Custom widget that draws page markers/thumbnails that can be clicked,tests/examples/compact_thumb_navigator.py,Other,0,
CompactPageNavigator(QWidget),Compact page navigator with thumb markers,tests/examples/compact_thumb_navigator.py,Other,0,
